S#,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
1,Dr. Ihsan Ullah,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,,France,,"P2P Networks, Telecommunication Systems",
2,Dr. Atiq Ahmed,University of Balochistan,Computer Science & IT,Balochistan,Associate Professor,PhD,,France,,"Wireless Networks, Telecommunication Systems, Multi-agent Systems",
3,Dr. Abdul Basit,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,Thailand,,Software Engineering & DBMS,
4,Mr. Muhammad Khalid Badini,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,MS,,,,Operating System & DBMS,On study leave
5,Dr. Waheed Noor,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,Thailand,,DBMS,
6,Dr. Junaid Baber,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,Thailand,,"Information processing, Multimedia mining",
7,Dr. Maheen Bakhtyar,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,Thailand,,"NLP, Information Retrieval, Question Answering system",
8,Mr. Syed Amjad Hussain,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,M.Sc,,,,"Automata Theory, Data Structure & Programming languages",
9,Mr. Syed Muhammad Zubair,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,MS,,,,"Object Oriented Programming, Network Security",PhD in progress
10,Dr. Altaf Hussain Bouk,University of Balochistan,Computer Science & IT,Balochistan,Professor,PhD,,Italy,,"Optical Fiber, Telecommunication System",
11,Dr. Muhammad Shumail,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,PhD,,Pakistan,,Computation Theory,
12,Mr. Jalaluddin,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,Mphil,,,,Statistics & Computer Architecture,
